"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"1500000US130099702012","Block Group 2, Census Tract 9702.01, Baldwin County, Georgia","724","null","176","null","15","null","24","null","0","14","null","null","30","null","41","null","34","null","52","null","58","null","72","null","172","null","120","null","14","22","null","null","50","null","68","null","12","null","21","null","0","14","null","null","65","null","68","null","24","null","24","null","22","null","53","null","33","null","39","null","101","null","70","null","94","124","null","null",
"1500000US130099702013","Block Group 3, Census Tract 9702.01, Baldwin County, Georgia","184","null","157","null","29","null","32","null","10","19","null","null","133","null","159","null","0","null","14","null","0","null","14","null","12","null","40","null","0","14","null","null","0","null","14","null","0","null","14","null","0","14","null","null","0","null","14","null","0","null","14","null","0","null","14","null","0","null","14","null","0","null","14","null","0","14","null","null",
"1500000US130099702014","Block Group 4, Census Tract 9702.01, Baldwin County, Georgia","265","null","92","null","63","null","51","null","70","57","null","null","75","null","69","null","0","null","14","null","8","null","15","null","0","null","14","null","0","14","null","null","0","null","14","null","0","null","14","null","0","14","null","null","14","null","30","null","35","null","33","null","0","null","14","null","0","null","14","null","0","null","14","null","0","14","null","null",
"1500000US130099702021","Block Group 1, Census Tract 9702.02, Baldwin County, Georgia","384","null","132","null","9","null","15","null","0","14","null","null","48","null","65","null","15","null","23","null","22","null","31","null","0","null","14","null","0","14","null","null","0","null","14","null","92","null","87","null","0","14","null","null","0","null","14","null","109","null","72","null","47","null","62","null","10","null","17","null","32","null","54","null","0","14","null","null",
"1500000US130099702022","Block Group 2, Census Tract 9702.02, Baldwin County, Georgia","366","null","132","null","14","null","23","null","0","14","null","null","0","null","14","null","31","null","53","null","0","null","14","null","0","null","14","null","13","21","null","null","11","null","22","null","39","null","39","null","86","94","null","null","21","null","24","null","17","null","23","null","32","null","40","null","0","null","14","null","93","null","52","null","9","15","null","null",
"1500000US130099702023","Block Group 3, Census Tract 9702.02, Baldwin County, Georgia","555","null","166","null","31","null","40","null","0","14","null","null","23","null","37","null","0","null","14","null","37","null","46","null","13","null","21","null","0","14","null","null","21","null","39","null","8","null","13","null","57","65","null","null","112","null","98","null","124","null","86","null","67","null","64","null","0","null","14","null","46","null","64","null","16","21","null","null",
"1500000US130099703011","Block Group 1, Census Tract 9703.01, Baldwin County, Georgia","473","null","138","null","0","null","14","null","0","14","null","null","0","null","14","null","10","null","16","null","0","null","14","null","4","null","6","null","13","22","null","null","11","null","20","null","4","null","8","null","48","44","null","null","84","null","95","null","129","null","127","null","86","null","54","null","67","null","69","null","0","null","14","null","17","36","null","null",
"1500000US130099703012","Block Group 2, Census Tract 9703.01, Baldwin County, Georgia","569","null","168","null","10","null","28","null","40","67","null","null","13","null","23","null","48","null","55","null","25","null","35","null","0","null","14","null","49","63","null","null","67","null","100","null","0","null","14","null","46","48","null","null","75","null","68","null","72","null","93","null","75","null","46","null","11","null","28","null","38","null","42","null","0","14","null","null",
"1500000US130099703021","Block Group 1, Census Tract 9703.02, Baldwin County, Georgia","723","null","210","null","64","null","72","null","0","14","null","null","90","null","89","null","0","null","14","null","0","null","14","null","47","null","62","null","11","21","null","null","20","null","34","null","0","null","14","null","64","84","null","null","39","null","55","null","247","null","164","null","40","null","50","null","0","null","14","null","0","null","14","null","101","73","null","null",
"1500000US130099703022","Block Group 2, Census Tract 9703.02, Baldwin County, Georgia","721","null","165","null","34","null","38","null","37","47","null","null","0","null","14","null","14","null","25","null","81","null","76","null","87","null","94","null","70","91","null","null","42","null","52","null","0","null","14","null","32","38","null","null","23","null","37","null","90","null","58","null","60","null","64","null","70","null","62","null","33","null","49","null","48","48","null","null",
